wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
15.9%,Red,US,"Almost Port-like, with extremely high alcohol and a thick, glyceriney mouthfeel that frames superripe blackberry, cherry and dark chocolate flavors. Yet the wine is very dry, and rich in its own eccentric way. ",Herman Story 2006 Grenache (Santa Ynez Valley),86,36,California,Grenache
15.4%,Red,US,"A little hot and tannic, with a young Port feeling, except that the wine, which is 100% Cabernet, is totally dry. Hard to tell where it's going. Grown in Yountville. ",Thomas Fogarty 2004 Vallerga Vineyard Cabernet Sauvignon (Napa Valley),86,50,California,Cabernet Sauvignon
14.7%,Red,US,Unacceptably harsh and hot with overripe raisiny flavors and charred oak notes. It's like cheap Port with some sweetness. ,Silver Stone Winery 2005 Onyx Red (San Luis Obispo County),80,40,California,Red Blends
16.3%,Red,US,"This Zin, Syrah and Petite Sirah blend smells and tastes like Port, only not as good. Thin, dry and hot. ",Sextant NV Genoa Red (Paso Robles),80,79,California,Red Blends
18%,Dessert,US,"Sweetness isn't the problem here. The wine is powerful in late harvest, caramelized sugar. The issue is concentration. The fruit is thin, leaving high alcohol to star. ",Croze 2006 Cabernet Sauvignon Port (Suisun Valley),82,25,California,Port
20%,Port/Sherry,Portugal,"A curious aroma of honeysuckle and tomatoes spoils this wine. The texture itself is fine, but it seems to have unripe fruit, very dry and rather lean. It could age, but the starting point doesn't seem promising. ",Poças 2000 Late Bottled Vintage  (Port),82,23,Port,Port
N/A,Port/Sherry,Portugal,"Attractive fresh apple aromas are then spoilt by a rather hard, tart character. The spirit is obvious here, giving an uncomfortable edge. ",Fonseca NV Sirocco White  (Port),82,20,Port,Port
N/A,Port/Sherry,Portugal,"This fine wine is still on the young side, with tannins dominating fruit, followed by acidity and cranberry juice character. It is dry, with just a touch of sweetness and a dry, tight aftertaste. This needs some bottle age—two years at least. ",Quinta do Portal 2003 Late Bottled Vintage  (Port),90,22,Port,Port
N/A,Port/Sherry,Portugal,"Lovely, ripe, mature fruit underlies great toffee richness, a serious amount of wood tannin and acidity. The flavors are of old caramel and dark brown sugar. This is an impressive wine that balances age with continuing freshness. ",Poças NV 30-years old Tawny  (Port),93,70,Port,Port
18%,Port/Sherry,Spain,"A dry, oily, piquant Oloroso that's more peanutty than almondy. The palate is racy due to no shortage of acidity, and the flavor profile is led by a salty, briney almond and leather character. Sheer and serious, with not a sugar cube in sight. ",González Byass NV Alfonso Oloroso Seco Palomino (Jerez),89,18,Andalucia,Palomino
14.5%,Red,US,"Robust, but a little awkward. Shows semi-sweet, jammy raspberry and cherry flavors with big tannins and acidity. Almost like a simple Port. Ready now. ",Scott Harvey 2007 Mountain Selection Zinfandel (Amador County),84,20,California,Zinfandel
14.9%,Red,US,"Dry, but too ripe to the point of overripeness, with the cherry jam and chocolate flavors veering into Port, particularly on the finish, where a caramelized raisin taste dominates. Drink now. ",Pessagno 2008 Four Boys Vineyard Pinot Noir (Santa Lucia Highlands),85,55,California,Pinot Noir
20%,Port/Sherry,Portugal,"A great, concentrated wine, rich, with a burnt almond character and delicious acidity. It keeps some freshness while showing a fine sense of maturity. ",Borges NV Roncão 20-Year-Old Tawny  (Port),90,48,Port,Port
19.5%,Port/Sherry,Australia,"Full and lush in the mouth, Grant Burge's 10 Year Old is incredibly easy to drink. The toffee and dried fruit notes are lively and fresh, accented by a hint of peppery spice on the finish. A nice change up for those used to tawny Port. ",Grant Burge NV 10 Year Old Oak Matured Port Wine Port (Barossa),89,30,South Australia,Port
N/A,Port/Sherry,Portugal,"Perfumed, fresh, attractive wine. It feels light in character, the texture open, showing jelly fruit character as well as ripe fruit. There is a perfumed rosehip aftertaste. ",Quinta do Portal 2008 Vintage  (Port),88,60,Port,Port
14.5%,Red,Portugal,"Big, powerful wine that is restrained by its ripe, dusty tannins. It is concentrated, with an almost Port-like texture, a result of the open lagars in which it is fermented. The fruit is likely to be rich and opulent as the tannins move into balance. ",Wine & Soul 2008 Pintas Red (Douro),93,72,Douro,Portuguese Red
14.4%,Red,US,"Massively rich and ripe in cherry fruit flavor. There's even a hint of overripeness in the red currants and ruby Port opulence, but not too much, and the wine is thoroughly dry. Give this Pinot a good decant, but it doesn't seem like an ager. ",Donum 2008 West Slope Pinot Noir (Carneros),90,85,California,Pinot Noir
13%,Red,Portugal,"It is rare to find Tinta Barroca on its own. Normally it is used for blending in Port. Here, though, it is in all its ripe fruit glory, an attractive, relatively lightweight wine. It's for drinking now, with red berry fruits right to the fore. ",Muxagat 2010 Tinta Barroca (Douro),87,20,Douro,Tinta Barroca
N/A,Port/Sherry,Portugal,"Smoke and chocolate flavors are overlain by toast flavors that make this as much table wine as Port. It is dry and firm, the fruit a much lesser component than the other flavors. ",Quinta Nova de Nossa Senhora do Carmo NV Clã Porto Special Reserva  (Port),84,25,Port,Port
15.8%,Red,US,"Shows Zinfandel's rustic, rugged side, with irregular tannins, high alcohol and ripe berry fruit and spice flavors. Almost as sweet as a minor Port. Ready to drink now. ",Kokomo 2009 Pauline's Vineyard Zinfandel (Dry Creek Valley),84,32,California,Zinfandel
20%,Port/Sherry,Portugal,"A perfumed wine, with aromas of lavender and ripe plum jelly. On the palate, the wine has great ripeness and sweet tannins, the fruit showing red berries, the sweet spice pounding through the acidity. ",Ramos-Pinto 2007 Late Bottled Vintage  (Port),88,26,Port,Port
20.5%,Port/Sherry,Portugal,"The old gold color promises a long-aged wine. Fruit has gone, morphing into almond and walnut flavors, tense acidity, great concentration and a smooth unctuous texture. It's a superb Port, offering calm contemplation. ",Wiese & Krohn NV 30 Anos Tawny  (Port),93,80,Port,Port
20%,Port/Sherry,Portugal,"The color is now deep amber, the result of long wood aging. The wine has retained its sweetness as well as its freshness, the acidity shooting through. A wine almost at its limit of aging, with immense concentration. It is for sipping and appreciating slowly. ",Burmester NV 40-Year-Old White  (Port),93,40,Port,Port
20%,Port/Sherry,Portugal,"Wood-aged white Port giving the gold color and an aged toast character. The wine, aged for an average of 30 years in barrel has sweetness, but this has been transformed into maturity, richness and a final almond flavor. ",Burmester NV 30-Year-Old White  (Port),93,30,Port,Port
20%,Port/Sherry,Portugal,"Based on the Roêda vineyard, this opulent, fruity wine is dense, beautifully ripe, a powerhouse of sweet fruit, figs and raisins, plum jelly and the roundest, most generous tannins. It's a wine that will show well in the next few years, but which should age magnificently. ",Croft 2009 Vintage  (Port),93,80,Port,Port
16%,Port/Sherry,Spain,"A rank well above most PX sweeties, with lush but fresh aromas of raisin and spice that are distinctly not syrupy or heavy. Feels thick, but there's enough acidity to cut through the wine's weight. Flavors of caramel and chocolate are ideal, and the finish is smooth, not heavy, and has bounce in its step. A beautiful PX any way you cut it. ",Alvear NV Solera 1927 Pedro Ximénez (Montilla-Moriles),94,25,Andalucia,Pedro Ximénez
20.5%,Port/Sherry,Portugal,"A classic Fonseca, rich and powerful, with just an extra edge of weight from the vintage. It has a dry character, a tannic edge that gives great promise, but the open-hearted fruit is all there. A wonderfully intense wine for aging. ",Fonseca 2009 Vintage  (Port),95,99,Port,Port
20.5%,Port/Sherry,Portugal,"Taylor Fladgate's vintage Ports are always among the legendary wines. This hugely structured wine keeps the dense, perfumed tradition very much alive. Along with the power, it also has wonderful fruit, bursting out with blackberry jam. Even with all the fruitiness, it needs to age for decades. ",Taylor Fladgate 2009 Vintage  (Port),96,99,Port,Port
20.5%,Port/Sherry,Portugal,"The legendary Vargellas Vinha Velha comes from the oldest vines of Quinta de Vargellas. This 2009 vintage is concentrated and impressive, its beautiful ripe fruits and dark chocolate backed by an immense structure. The gentler side of the wine comes through in its perfumed character. A wine that deserves many years of aging. ",Taylor Fladgate 2009 Vargellas Vinha Velha Vintage  (Port),97,225,Port,Port
14%,Port/Sherry,US,"Made in an oxidized style like a Sherry from Spain, ROX is meant to be drunk as an apéritif with raw oysters or hard, stinky cheeses and cured meats. An interesting almond-flavored take on Sierra Foothills-grown Roussanne grapes for sure. ",Terre Rouge 2003 ROX Monarch Mine Vineyard Roussanne (Sierra Foothills),87,20,California,Roussanne
18%,Port/Sherry,Spain,"A nutty and acidic wine, with aromas of pressed walnuts and toffee. Feels tight, sharp and narrow on the tongue, with blazing acidity and dry, limited, salty flavors that fold in toffee and sour fruit notes. Exceedingly salty on the finish; smells great but feels and tastes astringent for such an expensive bottling. ",Pedro Romero NV Prestige 50 Amontillado Viejísimo Sherry (Jerez),87,100,Andalucia,Sherry
18%,Port/Sherry,Spain,"A fiery, demanding, extremely power-packed Sherry, with toffee, orange zest, pecan pie and apricot aromas. Feels tight and high in acidity, with dry, salty flavors of walnut oil and pecans. Layered and drying on the finish, with power to spare. ",Pedro Romero NV Prestige 50 Oloroso Viejísimo Sherry (Jerez),88,75,Andalucia,Sherry
18%,Port/Sherry,Spain,"Sweet smelling, but welcoming and true to the cream style. Feels creamy and soft by Sherry standards, with prune, raisin, caramel, toffee and chocolate flavors. Turns a touch bitter on the finish, with a final dose of raisin, honey and toffee. ",Bodegas Dios Baco S.L. NV Cream Sherry (Jerez),89,15,Andalucia,Sherry
N/A,Port/Sherry,Spain,"True as dry oloroso comes, with nutty aromas combined with caramel richness. Feels raring to go, with pumped-up acidity that boosts otherwise normal flavors of dried white fruits, mixed nuts and brine. Tight, long and driving on the finish. ",Hidalgo NV Villapanés Oloroso Seco Sherry (Jerez),90,42,Andalucia,Sherry
18%,Port/Sherry,Spain,"For affordable amontillado, this is downright excellent. Smells nutty and oily, maybe a touch sharp, but well within normal parameters. Feels fresh, round and comfortable, with lots of core fruit flavor, nuttiness, sweet toffee and caramel. Finishes with toasted pecan flavors and peanut butter notes. Semidry in style. ",Bodegas Dios Baco S.L. NV Amontillado Sherry (Jerez),90,15,Andalucia,Sherry
18%,Port/Sherry,Spain,"Toasty and sweet on the nose, however it's not very complex. Feels juicy and refined, with raisin, fig and date flavors. Long on the finish and chocolaty tasting, with raisin and a lightness of being. Sweet within the style, but not unctuous or candied. ",Alvear NV Solera Cream Pedro Ximénez (Montilla-Moriles),90,29,Andalucia,Pedro Ximénez
18%,Port/Sherry,Spain,"Round and welcoming up front, with toffee, caramel and mocha aromas that are not too sharp. Feels smooth, with pure flavors of toasted nuts, caramel, cocoa dust, dried apricot and underripe peach. Complex and nutty on the finish, with a sweet aftertaste of chocolate and toffee. ",Bodegas Dios Baco S.L. NV Élite Oloroso Sherry (Jerez),90,15,Andalucia,Sherry
18%,Port/Sherry,Spain,"Nutty as they come, with a dose of honey on the bouquet. Tastes extremely nice and powerful, with cleansing acids and complex flavors of salted peanuts, almond, baked peaches and toffee. Layered in terms of feel and delivery, with a nutty, crisp finish. ",Pedro Romero NV Prestige 50 Palo Cortado Viejísimo Sherry (Jerez),91,125,Andalucia,Sherry
